VideoGameName,PC_Windows,PC_MAC,Playstation,NintendoSwitch,Xbox,Phone_Android,Phone_iPhone,Description,YoutubeTrailerLink,AgeRating,GenreCategory,NumberofPlayers,PopularityRating
Gang Beasts,1,1,1,1,1,0,0,Gang Beasts is a silly multiplayer party game with surly gelatinous characters brutal slapstick fight sequences and absurd hazardous environments set in the mean streets of Beef City.,https://www.youtube.com/watch?v=Vz0BriND6pE,Everyone10+,Party,5+,Very Positive
Nickelodeon All-Star Brawl 2,1,0,1,1,1,0,0,Nickelodeon All-Star Brawl 2 lets you duke it out with the biggest and best fighting character roster yet! Choose your favorite brawlers master their unique move sets and use all-new powerful Supers to land the finishing blow with friends or across a unique roguelike player campaign!,https://www.youtube.com/watch?v=Q2nESlbg9GU,Everyone10+,Fighting,3 to 4,Very Positive
Freddi Fish and the case of the Missing Kelp Seeds,1,1,1,1,0,0,0,Help underwater detective Freddi Fish and her finny friend Luther solve the case. Explore underwater caves deep canyons and colorful reefs and discover fascinating places like King Crab's Castle and A Sunken Ship Out of Time in an effort to save the reef.,https://www.youtube.com/watch?v=IhkhDAUcw6E,Everyone,Puzzle/word/card,1,Very Positive
Fall Guys,1,0,1,1,1,0,0,Fall Guys is a free cross-platform massively multiplayer party royale game. Clumsily compete in absurd obstacle courses with friends or build your very own chaotic course to share with the community.,https://www.youtube.com/watch?v=FcITAzKW3fY,Everyone,Party,5+,Very Positive
The Manhole,1,1,0,0,0,0,0,In 1988 you met Mr. Rabbit and a host of his friends in the World of the Manhole. Your friends are still here but they've done some remodeling.,https://youtu.be/NpWto81YDpI,Everyone,Puzzle/word/card,1,Very Positive
Tetris Effect: Connected,1,0,1,0,1,0,0,Tetris® Effect: Connected is Tetris like you've never seen it or heard it or felt it before—an incredibly addictive unique and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time,https://youtu.be/DVN1fBewyL8,Everyone,Puzzle/word/card,1,Overwhelmingly Positive
Hotel Transylvania: Scary-Tale Adventures,1,0,1,1,1,0,0,Explore classic fairy tales worlds with your favorite characters from the Sony Pictures Animation film,https://youtu.be/L00C4I8e-es,Everyone10+,Horror,1,Positive
Ghostbusters: Spirits Unleashed,1,0,1,1,1,0,0,In this asymmetrical game of hide and seek a 4v1 setup where players will either play as part of a team of new Ghostbusters or a singular Ghost.,https://youtu.be/tN5pcQxafpY,Everyone10+,Horror,5+,Mostly Positive
Luigi's Mansion 3,0,0,0,1,0,0,0,Luigi's Mansion 3 is a 2019 action-adventure video game developed by Next Level Games and published by Nintendo for the Nintendo Switch.,https://youtu.be/RSGgCfbYrg0,Everyone,Horror,1,Overwhelmingly Positive
Cuphead,1,1,1,1,1,0,0,Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s the visuals and audio are painstakingly created with the same techniques of the era traditional hand drawn cel animation watercolor backgrounds and original jazz recordings.,https://youtu.be/XwF67xkNSn8,Everyone10+,Adventure/RPG,2,Overwhelmingly Positive
